question,answer
"Asks for experiences with financing services such as Future Family, Lending Club, and CapexMD for IVF costs.","One suggestion is to consider using a credit card with good sign-up bonuses, travel points, or cash back offers if able to pay off immediately or benefit from a 0% intro offer."
Asks for options when unable to afford the high cost of an IVF cycle upfront.,"Options include opening a new credit card with a 0% APR, applying for personal loans or grants, seeking fertility-specific personal loans, and planning for potential additional costs beyond the initial amount."
"Asks if anyone has opened new credit cards to cover out-of-pocket costs for IVF treatments, seeking recommendations for cards that offer benefits like cash back or points.","Some users recommend credit cards such as Chase Freedom Unlimited, Chase Sapphire Preferred, Discover IT Cash Back, Amazon Chase Credit Card, and Marriott Bonvoy Amex for cash back, points, or other perks. One user successfully used a Capital One card with a 0% APR for 18 months to cover IVF costs."
"Inquires about using financing options like Ally, Lending Club, or Future Family for IVF cycles.","Some individuals opt for loans from credit unions, with better interest rates possible by offering collateral such as vehicles or houses."
Asks for recommendations on finance companies for covering IVF costs due to lack of insurance coverage.,"Some suggest looking into 0% interest credit cards that offer a period without interest, providing a potential financial solution for IVF expenses."
Asks for creative ways to fund IVF treatment due to financial concerns.,"Suggestions include finding a job with fertility benefits, exploring lower-cost clinics like CNY, considering taking out a loan, and checking if insurance covers any part of IVF expenses."
Questions why the billing coordinator at the fertility clinic is stating insurance coverage has been maxed out when the patient believes there are still rounds left. Asks if the clinic should be advocating and fighting for the patient with the insurance company.,"Some clinics may not be proactive in navigating insurance coverage, leaving patients to verify and clarify coverage with insurance companies themselves. Patients may need to take charge and directly communicate with insurance to resolve discrepancies, as internal glitches within insurance companies can occur."
Asks for advice on whether to switch back to separate medications (Gonal F and Luveris) to save money compared to using Pergoveris.,"Comment suggests sticking with Pergoveris due to its effectiveness and potentially fewer side effects, especially for individuals with Diminished Ovarian Reserve (DOR)."
"Inquires about financing options for IVF treatment in Central California, seeking information, reviews, and opinions on different financing providers, specifically regarding interest rates.",Commenters suggest specifying the location for more targeted responses and advice on financing options for IVF treatment.
Asks how others have financed multiple IVF cycles and if they set limitations on attempts.,"Some rely on insurance coverage, while others use personal loans, cash, second mortgages, 401K loans, or part-time jobs to finance IVF cycles. Setting limitations on attempts varies among individuals."
Asks about recent interest rates for loans taken out for IVF.,One user shared that their clinic offered a 2-year loan with 0% interest in March 2022.
Asks for recommendations and experiences with IVF financing companies like Future Family.,No comments were provided in response to this post.
"The post asks for options on how to finance IVF treatment without saving up for it beforehand, considering options like HELOC, credit cards, personal loans, and a company called Future Family.","Comments suggest avoiding high-rate fertility financing companies, opting for personal loans with lower rates, using 0% credit cards, or considering a HELOC for better rates. Some mention using companies like Progyny for IVF coverage."
Asks if there are options for IVF financing with 0% interest for a period like 1-2 years.,"Some individuals found success in securing 0% interest credit cards through their banks for 18-22 months, provided payments are made on time."
"Inquires about ways to finance IVF, especially for families relying on a single income.",Some suggestions include:
"Asks about the additional costs for frozen embryo transfers at CNY, including medication expenses.","Frozen embryo transfers at CNY cost $1095 each, which includes a $995 base fee plus a $150 fee. Medication costs are not covered in this fee. Some individuals had medication covered by insurance, with out-of-pocket costs totaling around $200. Additionally, there is a $100 charge for each office visit for a blood draw, resulting in an extra $600 for the first transfer."
"Asks for advice on choosing between different ARC Fertility financing plans, specifically the 1 Cycle Plus IVF and 2/3 Cycles Plus IVF with Success Refund options, considering potential financial implications for additional cycles.","Some individuals opt for the 3 cycle package to bank embryos, especially if time is a critical factor due to age. It allows for multiple attempts to increase the chances of success and potentially have additional cycles covered under the package."
Asks about options for getting personal loans with fair credit to finance IVF.,CapexMD is suggested as a potential option for financing IVF for individuals with fair credit.
Inquires about IVF financing companies offering interest-free periods for initial months.,"Fertility loans may have high rates, and it's suggested to explore financing options through the clinic or specific banks. An alternative is to consider using a zero-interest credit card, preferably with cash back or travel rewards."
Seeks to establish an IVF Finance and Insurance Reform Coalition to address the financial and insurance challenges faced by individuals undergoing IVF in the USA.,"The post highlights the lack of emphasis on IVF coverage in insurance policies, the financial burdens faced by individuals, and the need for reform to address issues like insurance companies dictating medical practices and coverage limitations. Comments support the initiative and acknowledge the need for change in the current system."
"Inquires about experiences with IVF treatment financing, including how to find a provider, potential pitfalls, and recommendations.","One option is borrowing against a 401k, which offers easy access and interest paid contributes to the balance. However, this may result in missing out on investment gains. Other suggestions include using 0% credit cards for a 24-month payoff period and seeking discounts for payment by check rather than credit card."
"Inquires about experiences with CapexMD, LLC for IVF financing, specifically regarding ease of working with them and timeliness.","CapexMD is described as great to work with, sending funds directly to the clinic and testing facilities like Igenomix. Users advise asking for more than needed."
Inquires about the possibility of IVF loans covering the cost of medications along with other procedures.,"IVF loans can cover medications as well. One individual shared their experience where the loan company covered various IVF-related expenses, including medications. Additionally, borrowing from a 401K was mentioned as another option, with interest paid back into the retirement account."
Asks for experiences and advice regarding ARC Fertility packages and financing for IVF cycles.,"One commenter recommends using WINfertility as an alternative, suggesting they are a good option for IVF services."
